score,good,ok,miss,maxcombo,drumroll
LΔchesis(裏譜面),806390点,681回,279回,64回,205回,23回
螺旋周回軌道(裏譜面),800980点,639回,261回,69回,73回,7回
ラパスの虹(裏譜面),799450点,584回,275回,50回,170回,58回
λ7708,781910点,510回,207回,71回,106回,38回
ラ・モレーナ・クモナイ(裏譜面),772470点,679回,364回,76回,163回,80回
六華の舞,888750点,545回,162回,1回,548回,69回
竜と黒炎の姫君(裏譜面),836650点,657回,242回,33回,217回,54回
燎原ノ舞,896960点,662回,142回,18回,259回,27回
LECIEL GLISSANDO,857880点,545回,198回,14回,268回,78回
冷凍庫CJ ～嗚呼面太鼓ブラザーズ～,871820点,591回,185回,11回,227回,47回
Rotter Tarmination(裏譜面),845360点,661回,240回,42回,242回,175回
What's in the box?,803020点,479回,239回,32回,141回,130回
わら得る2000,769150点,505回,256回,57回,150回,45回
wonderful ROUTINE,823540点,532回,214回,31回,159回,3回
